Genes,FC_mem_KO_mem WT
Cetn4,2.810344828
Atp8b1,2.808510638
Itga8,2.786885246
4930511M06Rik,2.781818182
Gm43042,2.781609195
Asic4,2.78125
H1fx,2.779411765
Snca,2.777163904
Gm26648,2.776699029
Olfr1247,2.776315789
Olfr1039,2.770833333
Mmp15,2.766990291
Teddm3,2.755102041
Ankrd36,2.753846154
1110032F04Rik,2.75
4932414J04Rik,2.743589744
Gm16701_2,2.74025974
Gm15758,2.735849057
Gm15787,2.733333333
Mrgpra6,2.72826087
Cped1,2.71875
Olfr193,2.714285714
Myct1,2.713114754
Olfr1252,2.710526316
Cadps,2.70212766
Clrn3,2.7
Olfr1275,2.6875
Gm45649,2.6875
4933427J07Rik,2.684210526
Cmbl,2.684210526
Gm44684,2.681818182
Il1bos,2.680851064
Adgb,2.676056338
Murc,2.675324675
Wnt2,2.673076923
Gm21284,2.673076923
Fgf3,2.671875
Gm5878,2.670212766
Gng8,2.666666667
Hist1h4m,2.666666667
Ppp1r14c,2.658536585
Aplnr,2.65
Srms,2.648
Grik1,2.645669291
Cldn15,2.645454545
Pm20d2,2.64
Trpm5,2.638297872
Olfr151,2.636363636
Vgll1,2.634146341
Smok2b,2.630434783
Angpt4,2.626666667
Frmpd3,2.626582278
Vmn2r105,2.625
Gm5087,2.625
Hpdl,2.62295082
Tmem130,2.621621622
Crb1,2.617283951
Gm12666,2.614678899
Orm1,2.614285714
Slc12a1,2.611111111
Trav15d-1-dv6d-1,2.609756098
Olfr983,2.606382979
Epb41l4a,2.596590909
Arl11,2.596153846
Ankrd37,2.592356688
Olfr384,2.591836735
Gm7102,2.591397849
Slc4a1,2.588549858
Hs3st5,2.585106383
Pcsk2os1,2.58490566
Olfr1145,2.583333333
Tcerg1l,2.583333333
Mroh3,2.582089552
A530099J19Rik,2.582089552
Zan,2.578231293
Vmn1r5,2.575
Duox1,2.565217391
Lrit3,2.556390977
Extl1,2.555023923
Gzmc,2.553191489
Gm11412,2.552238806
Gm7961,2.550724638
Gm17586,2.549382716
Olfr685,2.543624161
Mycn,2.541925466
Npbwr1,2.540540541
A530083I20Rik,2.534883721
Serping1,2.534653465
Stxbp3-ps,2.526315789
Gm16465,2.525
Ghrhr,2.522727273
RP24-389J11.2,2.521126761
Kif6,2.517857143
9630001P10Rik,2.512195122
Olfr11,2.510204082
Thbs2,2.510204082
Tead3,2.509259259
Npb,2.504273504
Pdzk1ip1,2.503649635
Dytn,2.5
Gm12511,2.5
Nkx2-6,2.5
Chchd6,2.495652174
Cd40lg,2.490196078
Trbv12-1,2.487804878
Csmd3,2.486842105
Spa17,2.481751825
Col4a1,2.480916031
Prdm13,2.477777778
Olfr753-ps1,2.475
Zg16,2.465648855
E330023G01Rik,2.463414634
Tmprss7,2.459459459
Gm29455,2.459183673
Hnf1a,2.458333333
A930012O16Rik,2.457627119
Tmod1,2.455319149
Bcl2l2,2.452380952
Nnmt,2.45
Fam169b,2.445783133
Gm14286,2.444444444
RP23-418A13.5,2.444444444
Fstl1,2.441860465
Olfr1380,2.43902439
Gm16754,2.4375
Ap3m1-ps,2.433962264
Aadacl3,2.426829268
Ifna5,2.425531915
Six1,2.424242424
Olfr1249,2.417721519
Ly6g6c,2.416666667
Ebi3,2.414414414
Arl4aos,2.4125
Six3,2.411111111
Gm10501,2.402985075
Slco1a1,2.4
Platr23,2.4
Gm26884,2.397058824
RP24-233B16.6,2.396825397
4933439C10Rik,2.393617021
Hnmt,2.393103448
Aqp7,2.390070922
2700046A07Rik,2.388888889
Lep,2.385826772
Ramp2,2.38547486
Ccl22,2.378486056
Ccdc83,2.377358491
Pax2,2.376
Tspyl5,2.372881356
Slc6a9,2.372881356
Gucy2f,2.371559633
Vstm2a,2.366666667
Nlrp9a,2.365384615
St18,2.361702128
Ppp4r4,2.361538462
Galntl6,2.361445783
Gm6034,2.351351351
Gm6124,2.351190476
Bik,2.35
Olfr1431,2.347826087
Gm21994,2.346153846
A530053M12Rik,2.345864662
BC026585,2.345794393
Slurp1,2.34375
Rhbdl1,2.340425532
